subset_size,label,precision,recall,f1-score,support
3600,LOC,0.7258064516129032,0.8333333333333334,0.7758620689655172,216
3600,ORG,0.0,0.0,0.0,2
3600,micro avg,0.7538910505836576,0.7466281310211946,0.750242013552759,1038
3600,macro avg,0.496208988144472,0.5196476964769648,0.506537356321839,1038
3600,weighted avg,0.7536483757815101,0.7466281310211946,0.7489992359311674,1038
4000,CHAR,0.7986301369863014,0.7109756097560975,0.752258064516129,820
4000,LOC,0.7681818181818182,0.7824074074074074,0.7752293577981653,216
4000,ORG,0.0,0.0,0.0,2
4000,micro avg,0.791578947368421,0.7244701348747592,0.7565392354124749,1038
4000,macro avg,0.5222706517227066,0.49779433905450166,0.5091624741047648,1038
4000,weighted avg,0.7907552842543737,0.7244701348747592,0.7555887805275814,1038
4500,CHAR,0.7723270440251573,0.748780487804878,0.7603715170278639,820
4500,LOC,0.7929515418502202,0.8333333333333334,0.8126410835214447,216
4500,ORG,0.0,0.0,0.0,2
4500,micro avg,0.776908023483366,0.7649325626204239,0.770873786407767,1038
4500,macro avg,0.5217595286251259,0.5273712737127371,0.5243375335164362,1038
4500,weighted avg,0.7751307409829253,0.7649325626204239,0.7697833506777269,1038
5000,CHAR,0.7783312577833126,0.7621951219512195,0.7701786814540974,820
5000,LOC,0.8045454545454546,0.8194444444444444,0.8119266055045873,216
5000,ORG,0.0,0.0,0.0,2
5000,micro avg,0.7839687194525904,0.7726396917148363,0.7782629791363416,1038
5000,macro avg,0.5276255707762557,0.5272131887985546,0.5273684289862283,1038
5000,weighted avg,0.7822865602737327,0.7726396917148363,0.7773821441053475,1038
5500,CHAR,0.8333333333333334,0.7073170731707317,0.7651715039577838,820
5500,LOC,0.8769230769230769,0.7916666666666666,0.832116788321168,216
5500,ORG,0.0,0.0,0.0,2
5500,micro avg,0.8428731762065096,0.7235067437379576,0.7786417833074132,1038
5500,macro avg,0.5700854700854702,0.49966124661246614,0.5324294307596505,1038
5500,weighted avg,0.8407983795267032,0.7235067437379576,0.7776279956866619,1038
6000,CHAR,0.8333333333333334,0.725609756097561,0.7757496740547588,820
6000,LOC,0.9378238341968912,0.8379629629629629,0.8850855745721271,216
6000,ORG,0.0,0.0,0.0,2
6000,micro avg,0.8555678059536935,0.7475915221579962,0.7979434447300772,1038
